Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18866705,"Dust (Silo, #3)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",5,4.23,Cornerstone Digital,ebook,416,2013,2013,2025/08/01,2026/01/29,,,read,,,,1,0
60965426,The Creative Act: A Way of Being,Rick Rubin,"Rubin, Rick",,"=""0593652886""","=""9780593652886""",0,3.96,Penguin Press,Hardcover,406,2023,2023,,2026/01/29,currently-reading,currently-reading (#5),currently-reading,,,,1,0
44643362,Pursuit,Joyce Carol Oates,"Oates, Joyce Carol",,"=""0802147917""","=""9780802147912""",4,3.40,Mysterious Press,Hardcover,216,2019,2019,2025/07/01,2025/07/15,,,read,,,,1,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",4,4.08,Tor Books,Hardcover,472,2014,2006,2025/04/01,2025/03/04,,,read,,,,1,0
210407880,The Mechanic and the Luddite: A Ruthless Criticism of Technology and Capitalism,Jathan Sadowski,"Sadowski, Jathan",,"=""0520398068""","=""9780520398061""",4,4.36,University of California Press,Hardcover,296,2025,,2025/06/05,2025/04/10,,,read,,,,1,0
17934530,"Annihilation (Southern Reach, #1)",Jeff Vandermeer,"Vandermeer, Jeff",,"=""0374104093""","=""9780374104092""",4,3.80,"Farrar, Straus and Giroux",Paperback,195,2014,2014,2025/05/10,2025/04/10,,,read,,,,1,0
50659472,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575605""","=""9781635575606""",4,4.46,Bloomsbury Publishing,Paperback,699,2020,2017,2026/01/28,2025/06/05,,,read,,,,1,0
16176440,We Are All Completely Beside Ourselves,Karen Joy Fowler,"Fowler, Karen Joy",,"=""0399162097""","=""9780399162091""",4,3.71,Plume,Hardcover,310,2013,2013,2025/07/01,2025/07/15,,,read,,,,1,0
17306293,"Shift (Silo, #2)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",5,4.13,Broad Reach Publishing,Kindle Edition,579,2013,2013,2025/08/01,2025/07/15,,,read,,,,1,0
195391688,"The Bone Season (The Bone Season, #1)",Samantha Shannon,"Shannon, Samantha",,"=""163973418X""","=""9781639734184""",5,3.84,Bloomsbury Publishing,Paperback,624,2024,2013,2025/10/28,2025/07/15,,,read,,,,1,0
62986755,March's End,Daniel Polansky,"Polansky, Daniel",,"=""1915202507""","=""9781915202505""",4,3.48,Angry Robot,Kindle Edition,423,2023,2023,2025/10/01,2026/01/28,,,read,,,,1,0
199701668,"The Mime Order (The Bone Season, #2)",Samantha Shannon,"Shannon, Samantha",,"=""1639734597""","=""9781639734597""",5,4.22,Bloomsbury Publishing,Hardcover,560,2024,2015,2025/11/01,2026/01/28,,,read,,,,1,0
199798785,Challenger: A True Story of Heroism and Disaster on the Edge of Space,Adam Higginbotham,"Higginbotham, Adam",,"=""198217661X""","=""9781982176617""",5,4.51,Avid Reader Press / Simon & Schuster,Hardcover,563,2024,2024,2025/11/01,2026/01/28,,,read,,,,1,0
38591165,The Doll Factory,Elizabeth Macneal,"Macneal, Elizabeth",,"=""1529002397""","=""9781529002393""",5,3.77,Picador,Hardcover,336,2019,2019,2025/12/01,2026/01/28,,,read,,,,1,0
123136728,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""0802161545""","=""9780802161543""",3,3.50,Atlantic Monthly Press,Hardcover,224,2023,2023,2025/11/01,2026/01/28,,,read,,,,1,0
58438623,The High House,Jessie Greengrass,"Greengrass, Jessie",,"=""1982180110""","=""9781982180119""",5,3.94,Scribner,Hardcover,255,2022,2021,2025/11/01,2026/01/28,,,read,,,,1,0
198281740,The Life Impossible,Matt Haig,"Haig, Matt",,"=""0593489276""","=""9780593489277""",4,3.47,Viking,Hardcover,324,2024,2024,2025/09/01,2026/01/29,,,read,,,,1,0
55858638,"The Golden Enclaves (The Scholomance, #3)",Naomi Novik,"Novik, Naomi",,"=""0593158369""","=""9780593158364""",5,4.12,Del Rey Books ,ebook,407,2022,2022,2025/05/01,2025/04/10,,,read,,,,1,0
55559887,"The Last Graduate (The Scholomance, #2)",Naomi Novik,"Novik, Naomi",,"=""0593128869""","=""9780593128862""",5,4.23,Del Rey,Hardcover,388,2021,2021,2025/05/01,2025/04/10,,,read,,,,1,0
15790842,"Life After Life (Todd Family, #1)",Kate Atkinson,"Atkinson, Kate",,"=""0316176486""","=""9780316176484""",5,3.79,Reagan Arthur Books,Hardcover,544,2013,2013,2025/01/01,2025/01/24,2025,2025 (#1),read,,,,1,0
125084292,"A City on Mars: Can We Settle Space, Should We Settle Space, and Have We Really Thought This Through?",Kelly Weinersmith,"Weinersmith, Kelly",Zach Weinersmith,"=""1984881736""","=""9781984881731""",5,4.01,Penguin Press,Kindle Edition,448,2023,2023,2025/01/01,2024/11/27,2025,2025 (#2),read,,,,1,0
13642,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,4.01,,Paperback,183,2004,1968,2025/01/01,2025/02/02,2025,2025 (#4),read,,,,1,0
228587642,"The Rose Field (The Book of Dust, #3)",Philip Pullman,"Pullman, Philip",,"=""0593306635""","=""9780593306635""",0,3.66,Knopf Books for Young Readers,Hardcover,672,2025,2025,,2026/01/28,currently-reading,currently-reading (#4),currently-reading,,,,1,0
12287209,"Wool (Wool, #1)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",0,4.14,Broad Reach,Kindle Edition,56,2011,2011,2024/01/04,2023/08/16,,,read,,,,1,0
56353777,The Cabinet,Kim Un-Su,"Un-Su, Kim",Sean Lin Halbert,"=""0857669176""","=""9780857669179""",0,3.49,Angry Robot,Paperback,304,2021,2006,2025/06/05,2025/05/10,,,read,,,,1,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",5,4.12,Knopf,Hardcover,399,2022,2022,,2024/01/14,,,read,,,,1,0
208516656,Here One Moment,Liane Moriarty,"Moriarty, Liane",,"=""0593798600""","=""9780593798607""",5,3.99,Crown,Hardcover,512,2024,2024,2025/04/10,2025/03/04,,,read,,,,1,0
13661,"Tehanu (Earthsea Cycle, #4)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""1416509631""","=""9781416509639""",5,4.06,Pocket Books,Paperback,281,2004,1990,,2025/03/04,,,read,,,,1,0
13667,"The Farthest Shore (Earthsea Cycle, #3)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""141650964X""","=""9781416509646""",0,4.13,Gallery Books,Paperback,259,2004,1972,2025/03/04,2025/02/09,,,read,,,,1,0
13662,"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0689845367""","=""9780689845369""",5,4.14,Aladdin Paperbacks,Mass Market Paperback,180,2001,1971,2025/02/09,2025/02/08,2025,2025 (#5),read,,,,1,0
35436043,Do You Dream of Terra-Two?,Temi Oh,"Oh, Temi",,"=""""","=""""",5,3.64,Simon & Schuster,Hardcover,520,2019,2019,,2024/10/28,,,read,,,,1,0
207647271,The Last Gifts of the Universe,Riley August,"August, Riley",,"=""1335081798""","=""9781335081797""",5,3.75,Hanover Square Press,Hardcover,288,2024,2022,2025/01/24,2025/01/24,2025,2025 (#3),read,,,,2,0
